Scientific,Common,SpeciesVal 
Abies balsamea,balsam fir,15
Acer,maples,3
Acer × freemanii,Freeman's Maple,5
Acer ginnala,Amur Maple,4
Acer negundo,boxelder maple,13
Acer pensylvanicum,striped maple,3
Acer platanoides,Norway maple,3
Acer rubrum,red maple,8
Acer saccharinum,silver maple,8
Acer saccharum,sugar maple,15
Acer spicatum,Mountain Maple,4
Achillea,yarrows,3
Achillea millefolium,common yarrow,20
Acorus americanus,sweetflag,2
Acorus calamus,sweet-flag,1
Actaea,baneberries and cohoshes,2
Actaea pachypoda,white baneberry,6
Actaea rubra,red baneberry,13
Actaea rubra rubra,red baneberry,1
Adiantum pedatum,northern maidenhair fern,7
Aegopodium podagraria,Goutweed,2
Aesculus glabra,Ohio buckeye,1
Aesculus hippocastanum,Horse-chestnut,3
Agalinis,false foxgloves,1
Agalinis purpurea,purple false foxglove,1
Ageratina altissima,white snakeroot,1
Agrimonia,agrimonies,4
Agrimonia gryposepala,tall hairy agrimony,1
Agrimonia striata,roadside agrimony,2
Ajuga reptans,carpet bugle,2
Alisma,water plantain,2
Alisma subcordatum,American water plantain,1
Alliaria petiolata,garlic mustard,5
Allium schoenoprasum,Chives,1
Allium tricoccum tricoccum,wide leek,1
Alnus,alders,2
Alnus incana,grey alder,7
Alnus incana rugosa,swamp alder,3
Alsineae,,2
Amaranthus,amaranths,2
Amaranthus retroflexus,Redroot Pigweed,1
Amblystegiaceae,,1
Ambrosia artemisiifolia,common ragweed,11
Ambrosia trifida,giant ragweed,2
Amelanchier,serviceberries,4
Amelanchier alnifolia,Saskatoon,1
Amelanchier arborea,common serviceberry,3
Amelanchier canadensis,Canadian serviceberry,1
Amelanchier spicata,Dwarf Serviceberry,2
Amphicarpaea bracteata,American hog-peanut,2
Amygdaloideae,,1
Anaphalis margaritacea,pearly everlasting,2
Andromeda polifolia,Wild Rosemary,3
Andromeda polifolia glaucophylla,bog rosemary,2
Andropogon gerardii,big bluestem,1
Anemonastrum,,1
Anemonastrum canadense,meadow anemone,6
Anemone,Thimbleweeds, anemones, and windflowers,3
Anemone virginiana,tall thimbleweed,9
Anemoneae,,1
Anemonoides quinquefolia,wood anemone,1
Angelica sylvestris,Wild Angelica,1
Angiospermae,flowering plants,17
Antennaria,pussytoes,2
Antennaria howellii,Small Pussytoes,2
Antennaria neglecta,Field Pussytoes,6
Anthemideae,Chamomiles, yarrows, and allies,1
Anticlea elegans,mountain deathcamas,2
Apiaceae,carrot family,1
Apocynum,dogbanes,2
Apocynum androsaemifolium,spreading dogbane,10
Aquilegia canadensis,red columbine,19
Aquilegia vulgaris,common columbine,2
Arabis hirsuta,Hairy Rockcress,1
Aralia nudicaulis,wild sarsaparilla,8
Aralia racemosa,American spikenard,2
Arctium,burdocks,11
Arctium lappa,greater burdock,2
Arctium minus,lesser burdock,2
Arctostaphylos uva-ursi,bearberry,4
Arenaria serpyllifolia,Thyme-leaved Sandwort,3
Arisaema triphyllum,Jack-in-the-pulpit,6
Aronia melanocarpa,black chokeberry,8
Artemisia ludoviciana,silver wormwood,1
Artemisia vulgaris,common mugwort,1
Asarum canadense,Canadian wild ginger,4
Asclepias,milkweeds,1
Asclepias incarnata,swamp milkweed,13
Asclepias incarnata incarnata,swamp milkweed,2
Asclepias syriaca,common milkweed,29
Asclepias tuberosa,butterfly milkweed,3
Asparagus officinalis,wild asparagus,2
Aster,asters,2
Asteraceae,sunflowers, daisies, asters, and allies,2
Astereae,asters and allies,7
Astragalus,milkvetches,1
Astragalus canadensis,Canadian milkvetch,1
Astragalus neglectus,Cooper's Milkvetch,2
Athyrium,lady ferns,1
Athyrium filix-femina,lady fern,7
Atriplex,Saltbushes,1
Baileya multiradiata,desert marigold,1
Barbarea vulgaris,bitter wintercress,2
Berberis thunbergii,Japanese barberry,1
Berberis vulgaris,European barberry,6
Betula,birches,3
Betula alleghaniensis,yellow birch,8
Betula nigra,river birch,1
Betula papyrifera,paper birch,14
Betula populifolia,gray birch,2
Betula pumila,Swamp Birch,5
Betulaceae,birch family,2
Bidens,Bur Marigolds,5
Bidens cernua,Nodding Beggarticks,4
Bidens connata,beggar ticks,1
Bidens frondosa,devil's beggarticks,3
Boechera laevigata,Smooth Rockcress,1
Boehmeria cylindrica,false nettle,2
Brasenia schreberi,Watershield,2
Brassica,cabbages and mustards,1
Brassicaceae,mustard family,5
Brassiceae,,1
Bromus,bromes,1
Bromus ciliatus,Fringed Brome,2
Bromus inermis,smooth brome,5
Bromus kalmii,Prairie Brome,2
Bryophyta,mosses,13
Bryopsida,true mosses,4
Calamagrostis canadensis,canadian bluejoint,3
Calla palustris,wild calla,6
Calopogon tuberosus,Tuberous Grasspink,2
Caltha palustris,marsh marigold,12
Calystegia macrostegia,coast morning glory,1
Campanula,bellflowers,4
Campanula aparinoides,Marsh Bellflower,2
Campanula glomerata,clustered bellflower,1
