Scientific,Common,SpeciesVal 
Abies balsamea,balsam fir,1
Abutilon theophrasti,velvetleaf,3
Acalypha rhomboidea,common copperleaf,1
Acer,maples,18
Acer × freemanii,Freeman's Maple,6
Acer campestre,field maple,4
Acer ginnala,Amur Maple,3
Acer negundo,boxelder maple,59
Acer nigrum,black maple,5
Acer pensylvanicum,striped maple,4
Acer platanoides,Norway maple,49
Acer pseudoplatanus,sycamore maple,3
Acer rubrum,red maple,5
Acer saccharinum,silver maple,27
Acer saccharum,sugar maple,18
Acer spicatum,Mountain Maple,6
Achillea,yarrows,5
Achillea filipendulina,Fern-leaf Yarrow,2
Achillea millefolium,common yarrow,21
Actaea,baneberries and cohoshes,3
Actaea pachypoda,white baneberry,8
Actaea racemosa,black cohosh,1
Actaea rubra,red baneberry,3
Adiantum pedatum,northern maidenhair fern,2
Aegopodium,Goutweed,2
Aegopodium podagraria,Goutweed,19
Aesculus,buckeyes and horse-chestnuts,9
Aesculus × carnea,Red horse-chestnut,5
Aesculus glabra,Ohio buckeye,1
Aesculus hippocastanum,Horse-chestnut,22
Agalinis,false foxgloves,1
Agalinis tenuifolia,slender false foxglove,1
Agastache,Hyssop,2
Agastache foeniculum,anise hyssop,13
Agastache scrophulariifolia,purple giant hyssop,1
Ageratina altissima,white snakeroot,16
Ageratum houstonianum,bluemink,1
Agoseris grandiflora,bigflower agoseris,1
Agrimonia,agrimonies,1
Agrimonia eupatoria,common agrimony,1
Agrimonia gryposepala,tall hairy agrimony,5
Agropyron cristatum,crested wheatgrass,1
Agrostis gigantea,redtop,10
Ailanthus altissima,tree-of-heaven,21
Ajuga,,2
Ajuga reptans,carpet bugle,6
Alcea,hollyhocks,2
Alcea rosea,Hollyhock,2
Alchemilla,Lady's-mantles,1
Alectoroctonum,,1
Alisma,water plantain,2
Alisma gramineum,grass alisma,1
Alisma triviale,Northern Water Plantain,6
Alkekengi officinarum,Japanese-lantern,1
Alliaria petiolata,garlic mustard,74
Allioideae,,1
Allium,onions,13
Allium cernuum,nodding onion,1
Allium giganteum,,1
Allium hollandicum,Persian Onion,1
Allium moly,Yellow onion,1
Allium schoenoprasum,Chives,5
Allium sphaerocephalon,Round-headed Leek,1
Allium tricoccum,small white leek,6
Allium tuberosum,Garlic Chives,2
Alnus,alders,2
Alnus alnobetula,green alder,1
Alnus glutinosa,European Alder,4
Alnus incana,grey alder,2
Alopecurus pratensis,Meadow Foxtail,3
Alsineae,,1
Althaea officinalis,marsh mallow,2
Amaranthoideae,,1
